threads,problem_size,scaling,repeat,time
2,10000000,strong,4,0.167550
10,10000000,weak,3,0.325421
3,10000000,strong,4,0.108444
4,10000000,strong,4,0.081477
11,10000000,weak,3,0.337073
5,10000000,strong,4,0.065163
12,10000000,weak,3,0.325482
6,10000000,strong,4,0.054318
1,10000000,weak,4,0.325188
7,10000000,strong,4,0.046550
2,10000000,weak,4,0.333734
8,10000000,strong,4,0.040921
3,10000000,weak,4,0.325317
9,10000000,strong,4,0.036364
10,10000000,strong,4,0.032819
4,10000000,weak,4,0.325406
11,10000000,strong,4,0.030845
5,10000000,weak,4,0.325146
12,10000000,strong,4,0.027441
6,10000000,weak,4,0.325342
1,10000000,strong,5,0.325744
7,10000000,weak,4,0.325498
2,10000000,strong,5,0.162569
8,10000000,weak,4,0.325266
3,10000000,strong,5,0.108357
9,10000000,weak,4,0.337000
4,10000000,strong,5,0.084286
10,10000000,weak,4,0.325106
5,10000000,strong,5,0.065185
6,10000000,strong,5,0.054367
11,10000000,weak,4,0.325394
7,10000000,strong,5,0.046589
12,10000000,weak,4,0.325266
8,10000000,strong,5,0.040861
1,10000000,weak,5,0.325151
9,10000000,strong,5,0.037517
2,10000000,weak,5,0.333643
10,10000000,strong,5,0.032797
3,10000000,weak,5,0.325058
11,10000000,strong,5,0.029783
12,10000000,strong,5,0.028190
4,10000000,weak,5,0.325555
1,10000000,strong,6,0.325386
5,10000000,weak,5,0.325397
2,10000000,strong,6,0.162887
6,10000000,weak,5,0.325427
3,10000000,strong,6,0.108638
7,10000000,weak,5,0.325257
4,10000000,strong,6,0.089192
8,10000000,weak,5,0.325178
5,10000000,strong,6,0.065177
9,10000000,weak,5,0.325155
6,10000000,strong,6,0.054233
10,10000000,weak,5,0.325269
7,10000000,strong,6,0.046577
8,10000000,strong,6,0.042265
11,10000000,weak,5,0.337010
9,10000000,strong,6,0.036277
12,10000000,weak,5,0.325248
10,10000000,strong,6,0.032770
1,10000000,weak,6,0.325154
11,10000000,strong,6,0.029736
2,10000000,weak,6,0.325201
12,10000000,strong,6,0.027378
3,10000000,weak,6,0.325364
1,10000000,strong,7,0.325990
4,10000000,weak,6,0.333779
