threads,problem_size,scaling,repeat,time
10,1000000,weak,7,0.032552
12,1000000,strong,7,0.002769
11,1000000,weak,7,0.033727
1,1000000,strong,8,0.033379
12,1000000,weak,7,0.032564
2,1000000,strong,8,0.024338
1,1000000,weak,8,0.032656
3,1000000,strong,8,0.010889
2,1000000,weak,8,0.032754
4,1000000,strong,8,0.008161
3,1000000,weak,8,0.035285
5,1000000,strong,8,0.006556
4,1000000,weak,8,0.036464
6,1000000,strong,8,0.005532
5,1000000,weak,8,0.032623
7,1000000,strong,8,0.004757
6,1000000,weak,8,0.032594
8,1000000,strong,8,0.004115
7,1000000,weak,8,0.032567
9,1000000,strong,8,0.003648
8,1000000,weak,8,0.032554
10,1000000,strong,8,0.003313
9,1000000,weak,8,0.032543
11,1000000,strong,8,0.003021
10,1000000,weak,8,0.033733
12,1000000,strong,8,0.002838
11,1000000,weak,8,0.032542
1,1000000,strong,9,0.033259
12,1000000,weak,8,0.032594
2,1000000,strong,9,0.016295
1,1000000,weak,9,0.032624
3,1000000,strong,9,0.010859
2,1000000,weak,9,0.037918
4,1000000,strong,9,0.008170
3,1000000,weak,9,0.032751
5,1000000,strong,9,0.006554
6,1000000,strong,9,0.005509
4,1000000,weak,9,0.032539
7,1000000,strong,9,0.004885
5,1000000,weak,9,0.032561
8,1000000,strong,9,0.004131
6,1000000,weak,9,0.032566
9,1000000,strong,9,0.003694
7,1000000,weak,9,0.032611
8,1000000,weak,9,0.032575
10,1000000,strong,9,0.003319
9,1000000,weak,9,0.033704
11,1000000,strong,9,0.003041
10,1000000,weak,9,0.032578
12,1000000,strong,9,0.002781
1,1000000,strong,10,0.033162
11,1000000,weak,9,0.032544
2,1000000,strong,10,0.016307
12,1000000,weak,9,0.032560
3,1000000,strong,10,0.011940
1,1000000,weak,10,0.032641
4,1000000,strong,10,0.009549
2,1000000,weak,10,0.032517
5,1000000,strong,10,0.006621
3,1000000,weak,10,0.032519
6,1000000,strong,10,0.005537
4,1000000,weak,10,0.040620
7,1000000,strong,10,0.004734
5,1000000,weak,10,0.032550
8,1000000,strong,10,0.004210
6,1000000,weak,10,0.032559
9,1000000,strong,10,0.003685
7,1000000,weak,10,0.033764
10,1000000,strong,10,0.003314
8,1000000,weak,10,0.032590
11,1000000,strong,10,0.003128
9,1000000,weak,10,0.032542
12,1000000,strong,10,0.002776
10,1000000,weak,10,0.032529
11,1000000,weak,10,0.032567
12,1000000,weak,10,0.032552
