threads,problem_size,scaling,repeat,time
4,1000000,weak,4,0.040682
6,1000000,strong,4,0.005515
5,1000000,weak,4,0.032673
7,1000000,strong,4,0.004693
6,1000000,weak,4,0.032725
8,1000000,strong,4,0.004131
7,1000000,weak,4,0.032758
9,1000000,strong,4,0.003651
8,1000000,weak,4,0.032709
10,1000000,strong,4,0.003297
9,1000000,weak,4,0.032649
11,1000000,strong,4,0.003099
10,1000000,weak,4,0.032884
12,1000000,strong,4,0.002756
11,1000000,weak,4,0.032822
1,1000000,strong,5,0.032949
2,1000000,strong,5,0.017213
12,1000000,weak,4,0.033068
3,1000000,strong,5,0.010869
1,1000000,weak,5,0.033674
4,1000000,strong,5,0.008426
2,1000000,weak,5,0.032670
5,1000000,strong,5,0.006609
3,1000000,weak,5,0.032720
6,1000000,strong,5,0.005521
4,1000000,weak,5,0.041167
7,1000000,strong,5,0.004692
5,1000000,weak,5,0.032832
8,1000000,strong,5,0.004106
6,1000000,weak,5,0.033886
9,1000000,strong,5,0.003657
7,1000000,weak,5,0.032807
10,1000000,strong,5,0.003284
8,1000000,weak,5,0.032748
11,1000000,strong,5,0.002992
9,1000000,weak,5,0.032690
12,1000000,strong,5,0.002770
10,1000000,weak,5,0.032677
1,1000000,strong,6,0.032842
11,1000000,weak,5,0.032833
2,1000000,strong,6,0.021465
12,1000000,weak,5,0.032883
3,1000000,strong,6,0.011271
1,1000000,weak,6,0.032612
4,1000000,strong,6,0.008531
2,1000000,weak,6,0.032813
5,1000000,strong,6,0.006580
3,1000000,weak,6,0.032807
6,1000000,strong,6,0.005508
4,1000000,weak,6,0.032986
7,1000000,strong,6,0.004727
5,1000000,weak,6,0.032998
8,1000000,strong,6,0.004105
6,1000000,weak,6,0.032876
9,1000000,strong,6,0.003650
7,1000000,weak,6,0.032782
10,1000000,strong,6,0.003299
8,1000000,weak,6,0.032781
11,1000000,strong,6,0.003002
9,1000000,weak,6,0.032724
12,1000000,strong,6,0.002749
10,1000000,weak,6,0.032667
1,1000000,strong,7,0.033306
2,1000000,strong,7,0.016769
11,1000000,weak,6,0.032744
3,1000000,strong,7,0.010876
12,1000000,weak,6,0.032853
4,1000000,strong,7,0.008201
1,1000000,weak,7,0.032544
5,1000000,strong,7,0.006588
2,1000000,weak,7,0.032739
6,1000000,strong,7,0.005517
3,1000000,weak,7,0.032910
7,1000000,strong,7,0.004749
4,1000000,weak,7,0.040638
8,1000000,strong,7,0.004108
5,1000000,weak,7,0.033895
9,1000000,strong,7,0.003672
6,1000000,weak,7,0.032860
10,1000000,strong,7,0.003393
7,1000000,weak,7,0.032819
11,1000000,strong,7,0.002995
8,1000000,weak,7,0.032763
12,1000000,strong,7,0.002763
9,1000000,weak,7,0.032687
1,1000000,strong,8,0.033375
10,1000000,weak,7,0.032793
2,1000000,strong,8,0.016800
11,1000000,weak,7,0.033899
3,1000000,strong,8,0.010878
12,1000000,weak,7,0.033045
4,1000000,strong,8,0.008400
1,1000000,weak,8,0.032587
5,1000000,strong,8,0.006610
